WID	ATCCode	Name	Synonym
1000000	B01AE02	Lepirudin	Hirudin variant-1
1000042	L01XC06	Cetuximab	Anti EGFR
1000042	L01XC06	Cetuximab	IMC-C225
1000098	R05CB13	Dornase Alfa	Deoxyribonuclease I
1000098	R05CB13	Dornase Alfa	Deoxyribonuclease-1 precursor
1000098	R05CB13	Dornase Alfa	DNase
1000098	R05CB13	Dornase Alfa	DNase I
1000098	R05CB13	Dornase Alfa	rhDNase
1000157	L01XX29	Denileukin diftitox	Diphtheria toxin precursor
1000157	L01XX29	Denileukin diftitox	DT
1000157	L01XX29	Denileukin diftitox	NAD(+--diphthamide ADP- ribosyltransferase)
1000200	L04AB01	Etanercept	CD120b
1000200	L04AB01	Etanercept	p75
1000200	L04AB01	Etanercept	p80 TNF-alpha receptor
1000200	L04AB01	Etanercept	TNF-R2
1000200	L04AB01	Etanercept	Tumor necrosis factor receptor 2
1000200	L04AB01	Etanercept	Tumor necrosis factor receptor superfamily member 1B precursor
1000200	L04AB01	Etanercept	Tumor necrosis factor receptor type II
1000339	L02AE02	Leuprolide	Leuprorelin
1000446	S01XA13	Alteplase	t-PA
1000446	S01XA13	Alteplase	t-plasminogen activator
1000446	S01XA13	Alteplase	Tissue-type plasminogen activator precursor
1000446	S01XA13	Alteplase	tPA
1000446	B01AD02	Alteplase	t-PA
1000446	B01AD02	Alteplase	t-plasminogen activator
1000446	B01AD02	Alteplase	Tissue-type plasminogen activator precursor
1000446	B01AD02	Alteplase	tPA
1000519	L03AB06	Interferon alfa-n1	Interferon alpha-2
1000519	L03AB06	Interferon alfa-n1	Interferon alpha-A
1000519	L03AB06	Interferon alfa-n1	LeIF A
1000554	B03XA02	Darbepoetin alfa	Epoetin
1000554	B03XA02	Darbepoetin alfa	Erythropoietin precursor
1000599	B01AD04	Urokinase	U-plasminogen activator
1000599	B01AD04	Urokinase	uPA
1000599	B01AD04	Urokinase	Urokinase-type plasminogen activator precursor
1000713	B01AD07	Reteplase	t- PA
1000713	B01AD07	Reteplase	t-plasminogen activator
1000713	B01AD07	Reteplase	Tissue-type plasminogen activator precursor
1000713	B01AD07	Reteplase	tPA
1000758	B03XA02	Epoetin alfa	Epoetin
1000758	B03XA02	Epoetin alfa	Erythropoietin precursor
1000758	B03XA01	Epoetin alfa	Epoetin
1000758	B03XA01	Epoetin alfa	Erythropoietin precursor
1000823	H05BA01	Salmon Calcitonin	Calcitonin 1 precursor
1000823	H05BA01	Salmon Calcitonin	Calcitonin-salmon
1000823	H05BA01	Salmon Calcitonin	Calcitonin, salmon
1000823	H05BA01	Salmon Calcitonin	Salmotonin
1000910	L03AA10	Pegfilgrastim	G-CSF
1000910	L03AA10	Pegfilgrastim	Granulocyte colony-stimulating factor precursor
1000910	L03AA10	Pegfilgrastim	Lenograstim
1000910	L03AA10	Pegfilgrastim	Pluripoietin
1000951	L03AA09	Sargramostim	Colony-stimulating factor
1000951	L03AA09	Sargramostim	CSF
1000951	L03AA09	Sargramostim	GM-CSF
1000951	L03AA09	Sargramostim	Granulocyte-macrophage colony-stimulating factor precursor
1000951	L03AA09	Sargramostim	Molgramostin
1001009	V04CK01	Secretin	Secremax, SecreFlo
1001100	L01XX02	Asparaginase	L-asparagine amidohydrolase
1001100	L01XX02	Asparaginase	Putative L-asparaginase precursor
1001138	V04CJ01	Thyrotropin Alfa	Follicle-stimulating hormone beta subunit
