ORIGINAL,REPLACEMENT,OCCURRENCE
"MIFEPRISTONE TABLETS, 200 MG (DANCO LABS)",MIFEPRISTONE,1218
ANALGESICS ( ),ANTIPYRINE,1
ANTIDEPRESSANTS ( ),IMIPRAMINE,2
"HYDROCODONE BITARTRATE (SIMILAR TO IND 59,175)(HYDROCODONE BITARTRATE,",HYDROCODONE,1
HYPNOTIC ( ),PHENOBARBITAL,1
OXYCODONE HCL,OXYCODONE,22191
TRANQUILIZERS ( ),MEPROBAMATE,1
BENADRYL,DIPHENHYDRAMINE,19453
REMICADE,INFLIXIMAB,122703
ANALGESICS,ANTIPYRINE,2161
ZITHROMAX,AZITHROMYCIN,10808
KAPANOL,ACETAMINOPHEN,59
LOMOTIL,DIPHENOXYLATE,4245
MAGNESIUM SUPPLEMENT,MAGNESIUM SULFATE,71
MAXOLON,METOCLOPRAMIDE,808
POTASSIUM INTRAVENOUS,POTASSIUM,1
BETATOP,ATENOLOL,9
MOPRAL,OMEPRAZOLE,2251
PREVISCAN,LANSOPRAZOLE,5211
TAXOTERE,DOCETAXEL,12842
AVAPRO,IRBESARTAN,9106
CLARINEX,DESLORATADINE,3015
PROPOXYPHENE HCL,PROPOXYPHENE,797
GLEEVEC,IMATINIB,23452
ANALGESIC LIQ,ANTIPYRINE,47
COUMADIN,WARFARIN,53117
ALOSENN,ALOSETRON,1603
AMOBAN,ZOPICLONE,1967
ASPIRIN,ACETYLSALICYLIC ACID,201560
CELLCEPT,MYCOPHENOLATE MOFETIL,11383
DIFLUCAN,FLUCONAZOLE,8698
FLOMOX,TAMSULOSIN,1134
GASTER D,FAMOTIDINE,2869
LASIX,FUROSEMIDE,72499
LIPOVAS ^BANYU^,ATORVASTATIN,53
PREDONINE,PREDNISOLONE,9332
PROGRAF,TACROLIMUS,17418
SIMULECT,BASILIXIMAB,2428
ESIDRIX,HYDROCHLOROTHIAZIDE,1280
VALSARTAN +/-HCTZ VS AMLODIPINE +/-HCTZ,VALSARTAN,37
BENDROFLUAZIDE,BENDROFLUMETHIAZIDE,2026
EXELON,RIVASTIGMINE,10588
LIPITOR,ATORVASTATIN,102441
SOLPRIN,ACETYLSALICYLIC ACID,67
VOLTAREN,DICLOFENAC,15262
QUADRAMET,SULFADIAZINE,172
ZOMETA,ZOLEDRONATE,43540
ADALAT CC,NIFEDIPINE,2523
CARDENALIN,DOXAZOSIN,1279
DIOVAN,VALSARTAN,40394
PANALDINE,ACETAMINOPHEN,1476
AMARYL,GLIMEPIRIDE,17855
METOPROLOL SUCCINATE,METOPROLOL,14842
SANDIMMUNE,CYCLOSPORINE,4573
ZIMOVANE,ZOPICLONE,203
AVANDIA,ROSIGLITAZONE,56710
PEPCID,FAMOTIDINE,10782
STARLIX,NATEGLINIDE,2382
BUFFERIN,ACETYLSALICYLIC ACID,2116
MEVALOTIN,PRAVASTATIN,1712
NORVASC,AMLODIPINE,49788
NEORAL,CYCLOSPORINE,13406
BEXTRA,VALDECOXIB,18677
ENBREL,ETANERCEPT,159002
ALENDRONATE SODIUM,ALENDRONATE,15487
ARAVA,LEFLUNOMIDE,11929
DICLOFENAC SODIUM,DICLOFENAC,10251
AMLODIPINE BESYLATE,AMLODIPINE,13606
ENOXAPARIN SODIUM,ENOXAPARIN,8426
GLYCERYL TRINITRATE,NITROGLYCERIN,1408
METFORMIN HCL,METFORMIN,57756
PIRITON,CHLORPHENIRAMINE,331
RESTORIL,TEMAZEPAM,5069
THORAZINE,CHLORPROMAZINE,1862
VISTARIL,HYDROXYZINE,2516
XANAX,ALPRAZOLAM,42883
BACTROBAN,MUPIROCIN,1351
WELLBUTRIN,BUPROPION,23576
AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN,3143
CETIRIZINE HYDROCHLORIDE,CETIRIZINE,1299
DROXIDOPA,HYDROXYUREA,109
EPOETIN BETA,EPOETIN ALFA,655
NICORANDIL,NIACIN,1898
RANITIDINE HYDROCHLORIDE,RANITIDINE,2278
VALTREX,VALACICLOVIR,13395
ZOVIRAX,ACYCLOVIR,5186
ALDIOXA,GLIPIZIDE,101
CIMETIDINE HCL,CIMETIDINE,324
ROXATIDINE ACETATE HCL,ROXATIDINE ACETATE,292
METHADONE HCL,METHADONE,10542
DOXAZOSIN MESYLATE,DOXAZOSIN,6398
SEROXAT,PAROXETINE,2237
ABACAVIR SULPHATE+LAMIVUDINE+ZIDOVUDINE,ABACAVIR,4
LAMICTAL,LAMOTRIGINE,31161
LITHIUM SULPHATE,LITHIUM,12
PAROXETINE HCL,PAROXETINE,12359
TRIMEPRAZINE TARTRATE,TRIMEPRAZINE,297
VITAMIN B12/FOLIC ACID,THIAMINE,7
VENTOLIN,SALBUTAMOL,11001
PENBRITIN,AMPICILLIN,4
CARDURA XL,DOXAZOSIN,169
TRITACE,RAMIPRIL,699
ZOCOR,SIMVASTATIN,41327
KALETRA,LOPINAVIR,12672
VIREAD,TENOFOVIR,6386
FRUSEMIDE,FUROSEMIDE,2204
WARFARIN SODIUM,WARFARIN,37324
DIURETIC,FUROSEMIDE,815
RANITIDINE HCL,RANITIDINE,1982
SULFAMETHOXAZOLE + TRIMETHOPRIM,TRIMETHOPRIM,1190
EPIVIR,LAMIVUDINE,5166
SANILVUDINE,STAVUDINE,35
ENALAPRIL MALEATE,ENALAPRIL,19843
WARFARIN POTASSIUM,WARFARIN,1261
IODINE,PRIMIDONE,380
MALARONE,ATOVAQUONE,1600
TRIMIPRAMINE MALEATE,IMIPRAMINE,468
ZYPREXA,OLANZAPINE,36996
BACTRIM DS,SULFAMETHOXAZOLE,4278
CATAPRES,CLONIDINE,2499
COLACE,LACTULOSE,9684
FLEXERIL,CYCLOBENZAPRINE,11408
LABETALOL HCL,LABETALOL,3172
MORPHINE SULFATE,MORPHINE,14050
MYCELEX,CLOTRIMAZOLE,799
NEURONTIN,GABAPENTIN,46494
PERCOCET,OXYCODONE,19537
ZESTRIL,LISINOPRIL,7679
XELODA,CAPECITABINE,17224
CREON,PANCRELIPASE,2696
COMPAZINE,PROCHLORPERAZINE,9308
MAALOX,MALATHION,974
PRILOSEC,OMEPRAZOLE,34607
PROPOXYPHENE NAPSYLATE,PROPOXYPHENE,275
TYLENOL,ACETAMINOPHEN,13879
ZOFRAN,ONDANSETRON,19128
VINORELBINE TARTRATE,VINORELBINE,926
COZAAR,LOSARTAN,18115
FLECAINIDE ACETATE,FLECAINIDE,2861
OFLOCET,OFLOXACIN,1273
AMBIEN,ZOLPIDEM,32797
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE,3755
DITROPAN XL,OXYBUTYNIN,1165
REGLAN,METOCLOPRAMIDE,16716
ROCALTROL,CALCITRIOL,2510
SYNTHROID,LEVOTHYROXINE,65802
VALIUM,DIAZEPAM,14605
VIOXX,ROFECOXIB,103221
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE,4791
HYDROCHLOROTHIAZIDE AND RAMIPRIL,HYDROCHLOROTHIAZIDE,60
CITALOPRAM HYDROBROMIDE,CITALOPRAM,21268
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL,139
PRAZOSIN HYDROCHLORIDE,PRAZOSIN,147
DESFERRIOXAMINE MESYLATE,DEFEROXAMINE,45
ZYLORIC ^FAES^,ALLOPURINOL,179
CELESTAMINE TAB,TRIAMCINOLONE,802
DIURETICS,FUROSEMIDE,3146
PRIMPERAN TAB,METOCLOPRAMIDE,3212
TAGAMET,CIMETIDINE,2746
THEOLONG,AMINOPHYLLINE,392
AREDIA,PAMIDRONATE,12554
ETHINYL ESTRADIOL TAB,ETHINYL ESTRADIOL,181
LEUPROLIDE ACETATE,LEUPROLIDE,3925
MOBIC,MELOXICAM,9886
